Street,Avenue,Lat,Lon
1,-3,,
1,-2,,
1,-1,,
1,0,,
1,1,40.7232759,-73.9884461
1,2,40.7242862,-73.990829
1,3,,
1,4,,
1,5,,
1,6,,
2,-3,,
2,-2,40.7210233,-73.9810829
2,-1,40.722019,-73.983444
2,0,40.7230074,-73.9857481
2,1,40.72394,-73.9879681
2,2,40.7249299,-73.9903454
2,3,,
2,4,,
2,5,,
2,6,,
3,-3,40.720674,-73.978231
3,-2,40.721677,-73.9806046
3,-1,40.722671,-73.982964
3,0,40.7236472,-73.9852818
3,1,40.724584,-73.987502
3,2,40.7255809,-73.9898675
3,3,,
3,4,,
3,5,,
3,6,40.7310625,-74.0014113
4,-3,40.721277,-73.977788
4,-2,40.7222831,-73.9801612
4,-1,40.723278,-73.982524
4,0,40.7242664,-73.9848308
4,1,40.725203,-73.987053
4,2,40.726188,-73.989429
4,3,,
4,4,,
4,5,,
4,6,40.731706,-74.000954
5,-3,40.721885,-73.977346
5,-2,40.7228867,-73.9797217
5,-1,40.723882,-73.982083
5,0,40.7248589,-73.9843993
5,1,40.725796,-73.986623
5,2,40.7267997,-73.9889783
5,3,40.7277529,-73.9912289
5,4,,
5,5,,
5,6,,
6,-3,40.722498,-73.976893
6,-2,40.7235008,-73.9792747
6,-1,40.724494,-73.981637
6,0,40.7254711,-73.9839534
6,1,40.726409,-73.986176
6,2,40.7274076,-73.9885349
6,3,40.7283561,-73.9907884
6,4,,
6,5,,
6,6,,
7,-3,40.723078,-73.976477
7,-2,40.7240792,-73.9788537
7,-1,40.725073,-73.981211
7,0,40.7260512,-73.9835308
7,1,40.726988,-73.985753
7,2,40.7279851,-73.9881196
7,3,40.7289384,-73.9903653
7,4,,
7,5,,
7,6,,
8,-3,40.723689,-73.97603
8,-2,40.7246931,-73.9784069
8,-1,40.725685,-73.980768
8,0,40.726666,-73.98309
8,1,40.727599,-73.985307
8,2,40.7286043,-73.9876651
8,3,40.7295679,-73.989905
8,4,,
8,5,40.7322611,-73.9963683
8,6,40.7336634,-73.9995234
9,-3,40.724283,-73.975598
9,-2,40.7252889,-73.9779731
9,-1,40.726281,-73.980333
9,0,40.7272732,-73.9826536
9,1,40.7282048,-73.9848673
9,2,40.7292016,-73.9872326
9,3,40.7301479,-73.989482
9,4,,
9,5,40.7328696,-73.9959296
9,6,40.7341463,-73.9991816
10,-3,40.7248848,-73.9751696
10,-2,40.7258818,-73.9775411
10,-1,40.7268652,-73.9799131
10,0,40.7278454,-73.982238
10,1,40.728779,-73.9844432
10,2,40.729779,-73.986812
10,3,40.7307259,-73.9890608
10,4,,
10,5,40.7334463,-73.9955159
10,6,40.7347874,-73.9987127
11,-3,,
11,-2,40.726465,-73.9770845
11,-1,40.727468,-73.979469
11,0,40.728446,-73.98179
11,1,40.729373,-73.9839987
11,2,40.7303818,-73.9863742
11,3,40.7313284,-73.988621
11,4,,
11,5,40.7340457,-73.9950635
11,6,40.735391,-73.998274
12,-3,40.726109,-73.974269
12,-2,40.7270883,-73.9766448
12,-1,40.728106,-73.978998
12,0,40.729086,-73.981325
12,1,40.7300191,-73.983536
12,2,40.731019,-73.985909
12,3,40.7319665,-73.9881565
12,4,,
12,5,40.7346805,-73.9946012
12,6,40.736032,-73.997805
13,-3,40.726752,-73.973799
13,-2,40.7277504,-73.9761698
13,-1,40.728746,-73.978536
13,0,40.729725,-73.980858
13,1,40.7306534,-73.9830644
13,2,40.7316674,-73.9854374
13,3,40.7326183,-73.9876834
13,4,,
13,5,40.735313,-73.994118
13,6,40.736668,-73.997341
14,-3,,
14,-2,40.7284433,-73.9756824
14,-1,40.7294404,-73.9780286
14,0,40.7304174,-73.9803623
14,1,40.7313572,-73.9825575
14,2,40.732353,-73.9849374
14,3,40.7332979,-73.9871866
14,4,,
14,5,40.7360074,-73.9936325
14,6,40.737361,-73.99684
14,7,40.7385578,-73.99968
14,8,40.7397428,-74.0024948
14,9,40.740914599999996,-74.00528315
14,10,40.7421447,-74.0081824
14,11,,
14,12,,
15,-3,,
15,-2,40.7291391,-73.9751868
15,-1,,
15,0,,
15,1,40.7320287,-73.982061
15,2,40.733033,-73.984441
15,3,40.7339818,-73.9866911
15,4,,
15,5,40.736691,-73.99312
15,6,40.738044,-73.996337
15,7,40.7392462,-73.9991824
15,8,40.7404441,-74.0019879
15,9,40.741661199999996,-74.00487035
15,10,40.742834,-74.007705
15,11,40.74314525,-74.00864525
15,12,,
16,-3,,
16,-2,40.7297709,-73.9747274
16,-1,,
16,0,,
16,1,40.732664,-73.9816006
16,2,,
16,3,40.7346235,-73.9862217
16,4,,
16,5,40.7373314,-73.9926537
16,6,40.738686,-73.995874
16,7,40.739881,-73.998713
16,8,40.74108,-74.001555
16,9,40.7422885,-74.0044325
16,10,40.74347,-74.007238
16,11,40.74404635,-74.00847455
16,12,,
17,-3,,
17,-2,,
17,-1,,
17,0,,
17,1,40.7332587,-73.9811531
17,2,40.734263,-73.9835476
17,3,40.7352124,-73.9857941
17,4,40.736556449999995,-73.98902279999999
17,5,40.7379242,-73.9922478
17,6,40.739272,-73.995446
17,7,40.74047,-73.998287
17,8,40.7416736,-74.0011226
17,9,40.7428829,-74.0039992
17,10,40.744061,-74.006811
17,11,40.74472435,-74.00835115000001
17,12,,
18,-3,,
18,-2,,
18,-1,,
18,0,,
18,1,40.7338271,-73.9807369
18,2,40.7348478,-73.9831211
18,3,40.7357989,-73.9853657
18,4,40.7371547,-73.98858465
18,5,40.7385111,-73.9918061
18,6,40.73986,-73.995018
18,7,40.741056,-73.997862
18,8,40.7422581,-74.0006951
18,9,40.7434761,-74.0035806
18,10,40.744646,-74.006385
18,11,40.74549115,-74.00821124999999
18,12,,
19,-3,,
19,-2,,
19,-1,,
19,0,,
19,1,40.7344252,-73.9803078
19,2,40.7354311,-73.9826949
19,3,40.7363822,-73.9849431
19,4,40.73773455,-73.9881615
19,5,40.7390984,-73.9913883
19,6,40.740442,-73.994593
19,7,40.741642,-73.997434
19,8,40.7428467,-74.0002679
19,9,40.7440561,-74.0031552
19,10,40.745231,-74.00596
19,11,40.7460867,-74.008009
19,12,,
20,-3,,
20,-2,40.7327494,-73.9744435
20,-1,,
20,0,,
20,1,40.7350119,-73.9798916
20,2,40.7360238,-73.9822654
20,3,40.7369675,-73.9845133
20,4,40.7383207,-73.98773535000001
20,5,40.7396764,-73.9909614
20,6,40.7410305,-73.9941671
20,7,40.7422336,-73.9970019
20,8,40.7434291,-73.9998503
20,9,40.744639,-74.0027325
20,10,40.7458171,-74.005534
20,11,40.7468041,-74.0078822
20,12,,
21,-3,,
21,-2,,
21,-1,,
21,0,,
21,1,40.7356057,-73.979453
21,2,40.7366125,-73.9818366
21,3,40.7375568,-73.984084
21,4,40.7389158,-73.9873013
21,5,40.7402774,-73.9905253
21,6,40.7416288,-73.9937317
21,7,40.7428254,-73.9965699
21,8,40.7440255,-73.9994132
21,9,40.745235,-74.0022968
21,10,40.7464102,-74.0050981
21,11,40.7475124,-74.0077514
21,12,,
22,-3,,
22,-2,,
22,-1,,
22,0,,
22,1,40.7362172,-73.9790127
22,2,40.7372187,-73.9813983
22,3,40.7381714,-73.9836359
22,4,40.7395261,-73.9868562
22,5,40.7408858,-73.9900833
22,6,40.7422328,-73.9932916
22,7,40.7434315,-73.9961302
22,8,40.74463,-73.9989693
22,9,40.7458555,-74.0018592
22,10,40.747023,-74.004653
22,11,40.7482041,-74.0074153
22,12,,
23,-3,,
23,-2,40.735414250000005,-73.97496905
23,-1,,
23,0,,
23,1,40.7368956,-73.9785412
23,2,40.7378893,-73.9809116
23,3,40.7388377,-73.9831493
23,4,40.74019205,-73.98635665
23,5,40.7415506,-73.9895966
23,6,40.7429103,-73.9927979
23,7,40.7441065,-73.9956382
23,8,40.7453054,-73.998472
23,9,40.7465212,-74.0013497
23,10,40.7477028,-74.0041638
23,11,40.7488909,-74.0070027
23,12,,
24,-3,,
24,-2,,
24,-1,,
24,0,,
24,1,40.7375593,-73.9780485
24,2,40.7385557,-73.9804284
24,3,40.7394995,-73.9826691
24,4,40.7408497,-73.9858835
24,5,40.7422186,-73.9891071
24,6,40.7435682,-73.9923179
24,7,40.744765,-73.9951595
24,8,40.7459651,-73.9979896
24,9,40.747171,-74.0008681
24,10,40.748355,-74.003684
24,11,40.749535050000006,-74.00650025
24,12,40.750244550000005,-74.0083949
25,-3,,
25,-2,,
25,-1,,
25,0,,
25,1,40.7381697,-73.9776048
25,2,40.7391809,-73.9799749
25,3,40.7401249,-73.9822158
25,4,40.74147885,-73.98543355
25,5,40.742832,-73.9886624
25,6,40.744186,-73.991871
25,7,40.745383,-73.994709
25,8,40.74658,-73.9975495
25,9,40.7477909,-74.0004216
25,10,40.748974,-74.003236
25,11,40.7501781,-74.0060705
25,12,,
26,-3,,
26,-2,,
26,-1,,
26,0,,
26,1,40.738796,-73.977148
26,2,40.7397948,-73.9795312
26,3,40.7407511,-73.9817646
26,4,40.74209775,-73.98498205
26,5,40.7434569,-73.9881911
26,6,40.7448186,-73.9914085
26,7,40.7460176,-73.9942525
26,8,40.7472165,-73.9970852
26,9,40.7484299,-73.9999571
26,10,40.7496114,-74.0027747
26,11,40.7508082,-74.0056216
26,12,40.751739425,-74.007942125
27,-3,,
27,-2,,
27,-1,,
27,0,,
27,1,40.73941,-73.9767
27,2,40.7404187,-73.979088
27,3,40.741363,-73.9813211
27,4,40.7427158,-73.98453245
27,5,40.7440672,-73.9877451
27,6,40.745421,-73.990968
27,7,40.746618,-73.993813
27,8,40.7478363,-73.9966345
27,9,,
27,10,40.7502291,-74.0023139
27,11,40.7514035,-74.0051771
27,12,40.752403,-74.007578
28,-3,,
28,-2,,
28,-1,,
28,0,,
28,1,40.7401057,-73.97619545
28,2,40.741043,-73.9786424
28,3,40.7419813,-73.9808707
28,4,40.74333665,-73.98408005
28,5,40.7446783,-73.9873007
28,6,40.746038,-73.990518
28,7,40.7472363,-73.9933621
28,8,40.748435,-73.996192
28,9,40.7496585,-73.9990646
28,10,40.750828,-74.001882
28,11,40.7520312,-74.0047222
28,12,40.7531017,-74.0073156
29,-3,,
29,-2,,
29,-1,,
29,0,,
29,1,40.7406465,-73.9757944
29,2,40.7416552,-73.9781701
29,3,40.7426044,-73.9804162
29,4,40.74395665,-73.9836302
29,5,40.745301,-73.986846
29,6,40.7466658,-73.9900676
29,7,40.7478634,-73.9929048
29,8,40.749056,-73.9957286
29,9,40.7502754,-73.9986119
29,10,40.7514585,-74.0014183
29,11,40.7526648,-74.0042686
29,12,40.753834499999996,-74.00714595
30,-3,,
30,-2,,
30,-1,,
30,0,,
30,1,40.7412737,-73.9753382
30,2,40.7422741,-73.9777196
30,3,40.743221,-73.9799651
30,4,40.74457165,-73.9831818
30,5,40.7459215,-73.9863915
30,6,40.747277,-73.989617
30,7,40.748469,-73.9924631
30,8,40.7496742,-73.9952961
30,9,40.7509884,-73.99809905000001
30,10,40.7521604,-74.00091900000001
30,11,40.7532765,-74.0038197
30,12,40.754513450000005,-74.00674875
31,-3,,
31,-2,,
31,-1,,
31,0,,
31,1,,
31,2,40.7428935,-73.9772741
31,3,40.743836,-73.9795166
31,4,40.7451888,-73.98273219999999
31,5,40.7465313,-73.9859434
31,6,40.7478958,-73.9891568
31,7,40.749101,-73.992006
31,8,40.7502936,-73.9948451
31,9,40.7515074,-73.9977245
31,10,40.7526895,-74.0005305
31,11,,
31,12,,
32,-3,,
32,-2,,
32,-1,,
32,0,,
32,1,,
32,2,40.7435047,-73.9768235
32,3,40.7444537,-73.9790654
32,4,40.7458046,-73.9822774
32,5,40.747152,-73.9854903
32,6,40.7485081,-73.9886948
32,7,40.749706,-73.991563
32,8,,
32,9,,
32,10,,
32,11,,
32,12,,
33,-3,,
33,-2,,
33,-1,,
33,0,,
33,1,40.7430899,-73.9740139
33,2,40.7441114,-73.9763847
33,3,40.745065,-73.9786187
33,4,40.7464269,-73.98183655
33,5,40.747774,-73.9850381
33,6,40.7491217,-73.9882353
33,7,40.7503422,-73.9910985
33,8,40.751532,-73.9939428
33,9,40.7527418,-73.9968169
33,10,40.7539186,-73.9996344
33,11,40.7551246,-74.0024796
33,12,40.7563097,-74.0052945
34,-3,,
34,-2,,
34,-1,,
34,0,,
34,1,40.7437863,-73.973508
34,2,40.7447916,-73.9758876
34,3,40.7457391,-73.978127
34,4,40.7470854,-73.98135995000001
34,5,40.7484537,-73.9845455
34,6,40.7498011,-73.9877463
34,7,40.7510092,-73.9906121
34,8,40.7521986,-73.993458
34,9,40.7534078,-73.9963175
34,10,40.754591,-73.9991485
34,11,40.7557816,-74.0019763
34,12,40.75702245,-74.00492485000001
35,-3,,
35,-2,,
35,-1,,
35,0,,
35,1,40.7444485,-73.973027
35,2,40.7454554,-73.9753989
35,3,40.7464036,-73.9776454
35,4,40.7477577,-73.98086075
35,5,40.7491045,-73.9840705
35,6,40.7504574,-73.9872874
35,7,40.7516588,-73.9901341
35,8,40.7528582,-73.9929759
35,9,40.7540713,-73.9958428
35,10,40.7552565,-73.9986588
35,11,40.7564645,-74.0014663
35,12,,
36,-3,,
36,-2,,
36,-1,,
36,0,,
36,1,40.7450699,-73.9725748
36,2,40.7460796,-73.9749393
36,3,40.7470231,-73.9772036
36,4,40.7483885,-73.98040080000001
36,5,40.7497263,-73.9836183
36,6,40.751088,-73.9868238
36,7,40.7522886,-73.9896878
36,8,40.7534779,-73.9925251
36,9,40.7546861,-73.9953826
36,10,40.7558737,-73.9982088
36,11,40.7570547,-74.0010329
36,12,,
37,-3,,
37,-2,,
37,-1,,
37,0,,
37,1,40.7456883,-73.9721236
37,2,40.7466849,-73.9744963
37,3,40.7476401,-73.9767589
37,4,40.748994350000004,-73.9799596
37,5,40.7503415,-73.9831749
37,6,40.7517,-73.986399
37,7,40.752895,-73.989243
37,8,40.754091,-73.992079
37,9,40.7552917,-73.9949335
37,10,40.7564802,-73.997767
37,11,40.7576744,-74.0005846
37,12,,
38,-3,,
38,-2,,
38,-1,,
38,0,,
38,1,40.7462999,-73.9716752
38,2,40.7472945,-73.974055
38,3,40.7482498,-73.9763154
38,4,40.7496026,-73.97951365
38,5,40.7509597,-73.9827265
38,6,40.752317,-73.985947
38,7,40.7535034,-73.9887981
38,8,40.754707,-73.991633
38,9,40.7559104,-73.9944724
38,10,40.7570936,-73.9973219
38,11,40.7582961,-74.0001285
38,12,,
39,-3,,
39,-2,,
39,-1,,
39,0,,
39,1,40.7469293,-73.9712165
39,2,40.7479353,-73.9735914
39,3,40.7488906,-73.9758481
39,4,40.75023165,-73.97905589999999
39,5,40.7515813,-73.9822757
39,6,40.7529437,-73.9854836
39,7,40.7541474,-73.988323
39,8,40.75533,-73.991177
39,9,40.7565324,-73.9940178
39,10,40.7577433,-73.9968456
39,11,40.7589139,-73.9996835
39,12,40.760150499999995,-74.0026464
40,-3,,
40,-2,,
40,-1,,
40,0,,
40,1,40.7475533,-73.9707856
40,2,40.7485484,-73.9731474
40,3,40.7494989,-73.9754041
40,4,40.75085965,-73.97860735
40,5,40.7522048,-73.9818235
40,6,40.7535585,-73.9850397
40,7,40.7547554,-73.9878881
40,8,40.7559486,-73.9907278
40,9,40.7571536,-73.9935785
40,10,40.758346,-73.9964055
40,11,40.7595041,-73.99922493333334
40,12,40.7606544,-74.00223276666667
41,-3,,
41,-2,,
41,-1,,
41,0,,
41,1,40.7481531,-73.9701563
41,2,40.7491639,-73.9727006
41,3,40.7501166,-73.974954
41,4,40.75146575,-73.97815615
41,5,40.7528159,-73.9813803
41,6,40.754177,-73.984596
41,7,40.755373,-73.987447
41,8,40.756567,-73.990276
41,9,40.75784,-73.9930728
41,10,40.7589842,-73.9959405
41,11,40.76015075,-73.99878145
41,12,40.76131925,-74.00179975
42,-3,,
42,-2,,
42,-1,,
42,0,,
42,1,40.7488305,-73.9698531
42,2,40.7498334,-73.9721997
42,3,40.7507733,-73.9744736
42,4,,
42,5,40.7534805,-73.9808792
42,6,40.754842,-73.984118
42,7,40.7560361,-73.9869489
42,8,40.7572335,-73.9897914
42,9,40.7584326,-73.9926458
42,10,40.7596264,-73.9954726
42,11,40.760832050000005,-73.9982947
42,12,40.76202115,-74.00119805
43,-3,,
43,-2,,
43,-1,,
43,0,,
43,1,40.7494908,-73.969324
43,2,40.750494,-73.971713
43,3,40.751455,-73.9739553
43,4,,
43,5,40.7541655,-73.9803921
43,6,40.755516,-73.983624
43,7,40.75671,-73.986458
43,8,40.7579117,-73.9892961
43,9,40.7591038,-73.9921385
43,10,40.7603122,-73.994972
43,11,40.7614999,-73.9978033
43,12,40.762599699999996,-74.0004098
44,-3,,
44,-2,,
44,-1,,
44,0,,
44,1,40.7501172,-73.9688692
44,2,40.751122,-73.971263
44,3,40.7520704,-73.9735109
44,4,,
44,5,40.7547828,-73.9799429
44,6,40.7561421,-73.9831665
44,7,40.7573424,-73.9860116
44,8,40.7585323,-73.9888429
44,9,40.7597283,-73.9916836
44,10,40.7609247,-73.9945259
44,11,40.7621145,-73.9973436
44,12,40.763116,-73.99968535
45,-3,,
45,-2,,
45,-1,,
45,0,,
45,1,40.7507505,-73.9684095
45,2,40.7517476,-73.9708043
45,3,40.7526987,-73.973049
45,4,,
45,5,40.7554134,-73.9794895
45,6,40.7567712,-73.9827118
45,7,40.7579634,-73.9855335
45,8,40.7591595,-73.9883858
45,9,40.7603553,-73.9912267
45,10,40.7615516,-73.9940688
45,11,40.7627398,-73.99689
45,12,40.7636288,-73.9989729
46,-3,,
46,-2,,
46,-1,,
46,0,,
46,1,40.7513685,-73.9679588
46,2,40.752379,-73.970341
46,3,40.7533265,-73.9725908
46,4,40.75468395,-73.97581249999999
46,5,40.7560373,-73.9790227
46,6,40.7573902,-73.9822537
46,7,40.7585968,-73.9850795
46,8,40.7597869,-73.9879285
46,9,40.7609866,-73.990767
46,10,40.762185,-73.9936069
46,11,40.7633667,-73.9964368
46,12,40.76428655,-73.99860665
47,-3,,
47,-2,,
47,-1,,
47,0,,
47,1,40.75193685,-73.96756415
47,2,40.7529893,-73.9698968
47,3,40.7539505,-73.9721397
47,4,40.7553116,-73.9753545
47,5,40.7566594,-73.9785571
47,6,40.7580163,-73.9817975
47,7,40.7592226,-73.9846194
47,8,40.7604088,-73.9874753
47,9,40.7616052,-73.9903162
47,10,40.7628026,-73.9931565
47,11,40.7639924,-73.9959815
47,12,40.7648743,-73.9980477
48,-3,,
48,-2,,
48,-1,,
48,0,,
48,1,40.7524517,-73.96715285
48,2,40.753624,-73.969431
48,3,40.7545735,-73.9716835
48,4,40.75594065,-73.97489575
48,5,40.7572829,-73.9781109
48,6,40.758645,-73.981341
48,7,40.759841,-73.984174
48,8,40.7610365,-73.9870177
48,9,40.7622326,-73.9898591
48,10,40.7634277,-73.9927007
48,11,40.7646184,-73.9955216
48,12,40.7655406,-73.9976964
49,-3,,
49,-2,,
49,-1,,
49,0,,
49,1,40.75325495,-73.96661234999999
49,2,40.754251,-73.968978
49,3,40.7551996,-73.9712239
49,4,40.7565627,-73.97444205
49,5,40.7579096,-73.9776624
49,6,40.7592744,-73.9808828
49,7,40.7604633,-73.9837062
49,8,40.7616677,-73.9865661
49,9,40.7628617,-73.9894017
49,10,40.7640575,-73.9922415
49,11,40.7652498,-73.995066
49,12,40.766163950000006,-73.9972417
50,-3,,
50,-2,,
50,-1,,
50,0,,
50,1,40.7538651,-73.9661361
50,2,40.754877,-73.96852
50,3,40.7558296,-73.9707675
50,4,40.75718225,-73.97398955
50,5,40.7585437,-73.9772064
50,6,40.7599106,-73.9804176
50,7,40.7610948,-73.9832504
50,8,40.7622941,-73.9861011
50,9,40.7634901,-73.9889429
50,10,40.7646863,-73.9917852
50,11,40.765878,-73.9946061
50,12,40.7667907,-73.99678589999999
51,-3,,
51,-2,,
51,-1,,
51,0,,
51,1,40.7544977,-73.9656942
51,2,40.7555038,-73.9680652
51,3,40.7564518,-73.970311
51,4,40.757816000000005,-73.97352699999999
51,5,40.7591757,-73.9767414
51,6,40.7605248,-73.9799722
51,7,40.7617189,-73.9828071
51,8,40.7629156,-73.9856481
51,9,40.7641124,-73.9884895
51,10,40.7653085,-73.9913292
51,11,40.7664978,-73.9941564
51,12,40.767416100000005,-73.9963274
52,-3,,
52,-2,,
52,-1,,
52,0,,
52,1,40.7551314,-73.9652321
52,2,40.7561457,-73.9676181
52,3,40.7570956,-73.9698449
52,4,40.758447649999994,-73.9730681
52,5,40.7597993,-73.9762894
52,6,40.7611565,-73.9795126
52,7,40.7623476,-73.9823472
52,8,40.7635566,-73.9851938
52,9,40.7647531,-73.9880232
52,10,40.7659445,-73.9908549
52,11,40.767131,-73.9936874
52,12,40.768056650000005,-73.99586264999999
53,-3,,
53,-2,,
53,-1,,
53,0,,
53,1,40.7557614,-73.9647728
53,2,40.7567628,-73.9671663
53,3,40.7577042,-73.9693983
53,4,40.75906155,-73.97261815
53,5,40.7604084,-73.9758441
53,6,40.7617737,-73.9790635
53,7,40.7629646,-73.9818975
53,8,40.7641596,-73.9847413
53,9,40.7653658,-73.9875752
53,10,40.766548,-73.9904253
53,11,40.767752,-73.9932376
53,12,,
54,-3,,
54,-2,,
54,-1,,
54,0,,
54,1,40.7563888,-73.9643154
54,2,40.757381,-73.966702
54,3,40.7583381,-73.9689403
54,4,40.7596916,-73.97216035
54,5,40.7610471,-73.9753806
54,6,40.7623991,-73.9786085
54,7,40.7635954,-73.9814328
54,8,40.7647981,-73.9842688
54,9,40.7659937,-73.9871254
54,10,40.7671828,-73.9899624
54,11,40.76837,-73.992786
54,12,40.76932455,-73.99494275
55,-3,,
55,-2,,
55,-1,,
55,0,,
55,1,40.7570205,-73.9638565
55,2,40.7580289,-73.9662476
55,3,40.75896,-73.9684914
55,4,40.76032565,-73.97169855
55,5,40.7616758,-73.9749271
55,6,40.7630416,-73.978141
55,7,40.7642332,-73.9809718
55,8,40.7654396,-73.9838209
55,9,40.7666367,-73.986668
55,10,40.7678263,-73.989495
55,11,40.769017,-73.9923216
55,12,40.769984449999995,-73.99465397499999
56,-3,,
56,-2,,
56,-1,,
56,0,,
56,1,40.7576367,-73.9634088
56,2,40.758647,-73.9657958
56,3,40.7595776,-73.9680061
56,4,40.76094575,-73.97124585
56,5,40.7622903,-73.9744717
56,6,40.7636495,-73.977693
56,7,40.7648393,-73.9805314
56,8,40.7660319,-73.9833766
56,9,40.7672471,-73.9862074
56,10,40.7684455,-73.9890489
56,11,40.7696336,-73.9918836
56,12,40.770709466666666,-73.99443706666666
57,-3,,
57,-2,,
57,-1,,
57,0,,
57,1,40.7583127,-73.9629223
57,2,40.7593168,-73.9653081
57,3,40.76024915,-73.9675148
57,4,40.76161475,-73.97075964999999
57,5,40.7629723,-73.9739744
57,6,40.764324,-73.977196
57,7,40.765521,-73.980036
57,8,40.7667157,-73.9828727
57,9,40.767916,-73.9857183
57,10,40.7691175,-73.988561
57,11,40.7703169,-73.9913932
57,12,40.7713824,-73.99388909999999
58,-3,,
58,-2,,
58,-1,,
58,0,,
58,1,40.7589866,-73.9624288
58,2,40.7599916,-73.9648028
58,3,40.7609399,-73.9670376
58,4,40.762290449999995,-73.9702633
58,5,40.7636536,-73.9734832
58,6,40.7650041,-73.9767052
58,7,40.7662134,-73.9795321
58,8,40.7673998,-73.9823637
58,9,40.7685979,-73.9852202
58,10,40.7697859,-73.9880556
58,11,40.7709867,-73.9909124
58,12,40.7721482,-73.993661
59,-3,,
59,-2,,
59,-1,,
59,0,,
59,1,40.7596231,-73.961955
59,2,40.7606212,-73.9643559
